Thuật toán,Bộ dữ liệu,Số nhân viên,Số ngày,Trạng thái,Giá trị hàm mục tiêu,Thời gian chạy(s)
CP-SAT (easy),test_1.txt,10,8,OPTIMAL,1.0,0.0374
MILP (easy),test_1.txt,10,8,OPTIMAL,1.0,0.0173
CP-SAT (easy),test_10.txt,14,10,OPTIMAL,2.0,0.0164
MILP (easy),test_10.txt,14,10,OPTIMAL,2.0,0.0113
CP-SAT (easy),test_2.txt,19,10,OPTIMAL,2.0,0.0217
MILP (easy),test_2.txt,19,10,OPTIMAL,2.0,0.0096
CP-SAT (easy),test_3.txt,14,10,OPTIMAL,2.0,0.0142
MILP (easy),test_3.txt,14,10,OPTIMAL,2.0,0.0111
CP-SAT (easy),test_4.txt,17,8,OPTIMAL,1.0,0.0165
MILP (easy),test_4.txt,17,8,OPTIMAL,1.0,0.0109
CP-SAT (easy),test_5.txt,13,9,OPTIMAL,1.0,0.015
MILP (easy),test_5.txt,13,9,OPTIMAL,1.0,0.0054
CP-SAT (easy),test_6.txt,17,10,OPTIMAL,2.0,0.0192
MILP (easy),test_6.txt,17,10,OPTIMAL,2.0,0.0146
CP-SAT (easy),test_7.txt,14,8,OPTIMAL,2.0,0.0144
MILP (easy),test_7.txt,14,8,OPTIMAL,2.0,0.0104
CP-SAT (easy),test_8.txt,20,8,OPTIMAL,2.0,0.0207
MILP (easy),test_8.txt,20,8,OPTIMAL,2.0,0.0158
CP-SAT (easy),test_9.txt,10,8,OPTIMAL,1.0,0.0099
MILP (easy),test_9.txt,10,8,OPTIMAL,1.0,0.0039
CP-SAT (hard),test_1.txt,62,29,OPTIMAL,5.0,0.1622
MILP (hard),test_1.txt,62,29,OPTIMAL,5.0,0.546
CP-SAT (hard),test_10.txt,90,28,OPTIMAL,5.0,0.2103
MILP (hard),test_10.txt,90,28,OPTIMAL,5.0,0.8303
CP-SAT (hard),test_2.txt,88,28,OPTIMAL,5.0,0.1925
MILP (hard),test_2.txt,88,28,OPTIMAL,5.0,0.9127
CP-SAT (hard),test_3.txt,70,30,OPTIMAL,5.0,0.1801
MILP (hard),test_3.txt,70,30,OPTIMAL,5.0,0.5742
CP-SAT (hard),test_4.txt,71,31,OPTIMAL,5.0,0.1691
MILP (hard),test_4.txt,71,31,OPTIMAL,5.0,0.6758
CP-SAT (hard),test_5.txt,68,28,OPTIMAL,5.0,0.1585
MILP (hard),test_5.txt,68,28,OPTIMAL,5.0,0.5883
CP-SAT (hard),test_6.txt,60,31,OPTIMAL,5.0,0.172
MILP (hard),test_6.txt,60,31,OPTIMAL,5.0,0.4723
CP-SAT (hard),test_7.txt,63,31,OPTIMAL,5.0,0.1552
MILP (hard),test_7.txt,63,31,OPTIMAL,5.0,0.523
CP-SAT (hard),test_8.txt,77,30,OPTIMAL,5.0,0.2149
MILP (hard),test_8.txt,77,30,OPTIMAL,5.0,0.6755
CP-SAT (hard),test_9.txt,87,30,OPTIMAL,5.0,0.211
MILP (hard),test_9.txt,87,30,OPTIMAL,5.0,0.7383
CP-SAT (medium),test_1.txt,48,15,OPTIMAL,3.0,0.0703
MILP (medium),test_1.txt,48,15,OPTIMAL,3.0,0.1328
CP-SAT (medium),test_10.txt,45,14,OPTIMAL,2.0,0.0603
MILP (medium),test_10.txt,45,14,OPTIMAL,2.0,0.0836
CP-SAT (medium),test_2.txt,37,20,OPTIMAL,3.0,0.0611
MILP (medium),test_2.txt,37,20,OPTIMAL,3.0,0.0679
CP-SAT (medium),test_3.txt,49,17,OPTIMAL,3.0,0.0739
MILP (medium),test_3.txt,49,17,OPTIMAL,3.0,0.1207
CP-SAT (medium),test_4.txt,40,14,OPTIMAL,3.0,0.0499
MILP (medium),test_4.txt,40,14,OPTIMAL,3.0,0.0515
CP-SAT (medium),test_5.txt,31,14,OPTIMAL,2.0,0.0399
MILP (medium),test_5.txt,31,14,OPTIMAL,2.0,0.1095
CP-SAT (medium),test_6.txt,42,15,OPTIMAL,3.0,0.0642
MILP (medium),test_6.txt,42,15,OPTIMAL,3.0,0.0767
CP-SAT (medium),test_7.txt,44,16,OPTIMAL,3.0,0.065
MILP (medium),test_7.txt,44,16,OPTIMAL,3.0,0.0769
CP-SAT (medium),test_8.txt,39,20,OPTIMAL,3.0,0.0631
MILP (medium),test_8.txt,39,20,OPTIMAL,3.0,0.0891
CP-SAT (medium),test_9.txt,44,14,OPTIMAL,2.0,0.0565
MILP (medium),test_9.txt,44,14,OPTIMAL,2.0,0.0724
CP-SAT (stress),test_1.txt,152,71,OPTIMAL,11.0,1.1659
MILP (stress),test_1.txt,152,71,OPTIMAL,11.0,10.0613
CP-SAT (stress),test_10.txt,123,67,OPTIMAL,10.0,0.9393
MILP (stress),test_10.txt,123,67,OPTIMAL,10.0,7.0941
CP-SAT (stress),test_2.txt,198,89,OPTIMAL,14.0,15.1942
MILP (stress),test_2.txt,198,89,OPTIMAL,14.0,27.855
CP-SAT (stress),test_3.txt,181,84,OPTIMAL,13.0,6.1959
MILP (stress),test_3.txt,181,84,OPTIMAL,13.0,21.9614
CP-SAT (stress),test_4.txt,134,66,OPTIMAL,10.0,1.2148
MILP (stress),test_4.txt,134,66,OPTIMAL,10.0,6.2201
CP-SAT (stress),test_5.txt,131,87,OPTIMAL,13.0,1.3626
MILP (stress),test_5.txt,131,87,OPTIMAL,13.0,10.9898
CP-SAT (stress),test_6.txt,137,76,OPTIMAL,12.0,1.1375
MILP (stress),test_6.txt,137,76,OPTIMAL,12.0,10.2939
CP-SAT (stress),test_7.txt,135,61,OPTIMAL,10.0,0.9142
MILP (stress),test_7.txt,135,61,OPTIMAL,10.0,7.3235
CP-SAT (stress),test_8.txt,186,66,OPTIMAL,10.0,1.8372
MILP (stress),test_8.txt,186,66,OPTIMAL,10.0,15.3733
CP-SAT (stress),test_9.txt,158,67,OPTIMAL,10.0,1.845
MILP (stress),test_9.txt,158,67,OPTIMAL,10.0,9.6358
